constituency_id,constituency_name,district_id,candidate_name,votes,percentage,gender,total_registered,banned_votes,votes_cast
78,Dowa Central,8,IND – Annie Namani Chibwana,19085,77.17,0,34770,306,24731
78,Dowa Central,8,MCP – Darlington Robert Harawa,5647,22.83,1,34770,306,24731
79,Dowa Central East,8,IND – Mike Chipala,11592,58.53,1,28104,369,19806
79,Dowa Central East,8,MCP – Martin Luka,5587,28.21,1,28104,369,19806
80,Dowa East,8,MCP – Richard William Chimwendo,25111,46.64,1,40731,0,53839
80,Dowa East,8,IND – Annie Namani Chibwana,19085,35.45,0,40731,0,53839
81,Dowa Kasangadzi,8,MCP – George Jivason Kadzipatike,18006,75.07,1,33153,259,23986
81,Dowa Kasangadzi,8,IND – Enos Kanyerere Chitatanga,5980,24.93,1,33153,259,23986
82,Dowa Mndolera,8,IND – Kendall Zivile Kamwendo,14381,58.18,1,30744,350,24720
82,Dowa Mndolera,8,MCP – Ephraim Kayembe Abele,7346,29.72,1,30744,350,24720
83,Dowa Mphudzu,8,MCP – Arthur Martin Sungitsa,12068,49.78,1,34205,331,24243
83,Dowa Mphudzu,8,IND – Chunala Alexico Njombwa,6944,28.64,1,34205,331,24243
84,Dowa Ngala,8,IND – Rodwell Khombeni,6200,26.98,1,33954,380,22980
84,Dowa Ngala,8,MCP – Elias Watson Jani Chakwera,5621,24.46,1,33954,380,22980
86,Dowa North East,8,MCP – Samuel Dalitso Kawale,12142,51.57,1,33296,392,23544
86,Dowa North East,8,IND – Godfrey Charles Chimdzeka,10343,43.93,1,33296,392,23544
87,Dowa South East,8,IND – Hope Tionge Zamba,26756,85.49,0,43796,519,31299
87,Dowa South East,8,MCP – Halima Daud,3997,12.77,0,43796,519,31299
88,Dowa West,8,IND – Aida Chitsosa Mchenga,14254,52.38,0,34542,513,27215
88,Dowa West,8,MCP – Alexander Kusamba Dzonzi,12849,47.21,1,34542,513,27215
89,Karonga Central,9,NDP – Frank Tumpale Mwenifumbo,7802,57.4,1,20657,147,13592
89,Karonga Central,9,DPP – Willard Mwangonde,2407,17.71,1,20657,147,13592
93,Karonga Nyungwe,10,UTM – Kenneth Ndovie,6985,35.1,1,29747,146,19898
93,Karonga Nyungwe,10,DPP – Wilson Woodrow Sichali,6522,32.78,1,29747,146,19898
94,Karonga Songwe,10,MCP – Mungasulwa Mwambande,6506,51.6,1,19238,103,12609
94,Karonga Songwe,10,IND – Vincent Winstone Ghambi,3608,28.61,1,19238,103,12609
95,Karonga South,10,PP – Duncan Kaonga,17198,77.93,1,30148,132,22068
95,Karonga South,10,MCP – Uchizi Vunda Mkandawire,3319,15.04,1,30148,132,22068
96,Karonga Town,10,MCP – Daniel Chitonya,9434,52.33,1,26702,158,18029
96,Karonga Town,10,UTM – Felix Katwaff Kaira,4835,26.82,1,26702,158,18029
97,Kasungu Central,11,MCP – Chikondi Chisale,13194,54.41,1,36932,323,24250
97,Kasungu Central,11,IND – Michael John Kalukusha,6617,27.29,1,36932,323,24250
98,Kasungu East,11,IND – Felix Nkhoma,11092,48.16,1,36105,262,23032
98,Kasungu East,11,MCP – Madalitso Fred Kwaderanji Kazombo,9836,42.71,1,36105,262,23032
99,Kasungu Municipality,11,IND – Noel Kaputa Mkubwi,7109,38.68,1,25645,198,18380
99,Kasungu Municipality,11,DPP – Alfred H.A. Manyusa,4235,23.04,1,25645,198,18380
100,Kasungu North,11,PP – Beatrice Roseby Mwale,11537,45.35,0,36823,994,25440
100,Kasungu North,11,MCP – Mike Bango Chirwa,10517,41.34,1,36823,994,25440
101,Kasungu North East,11,MCP – Madalitso Wirima Kambauwa,10101,48.79,0,32782,317,20704
101,Kasungu North East,11,IND – Steve Mikaya,9008,43.51,1,32782,317,20704
103,Kasungu North West,11,MCP – Jailosi Kalenje Bonongwe,8101,30.14,1,40680,383,26876
103,Kasungu North West,11,MCP – Emmanuel Joseph Mseteka,7685,28.59,1,40680,383,26876
104,Kasungu South,11,MCP – Simplex E.D. Chithyola,12349,49.32,1,33201,322,25039
104,Kasungu South,11,IND – Joseph Manguluti,11817,47.19,1,33201,322,25039
105,Kasungu South East,12,IND – Golden Chizimba Msilimba,13947,60.71,1,31910,275,22973
105,Kasungu South East,12,MCP – Khumbize Kandodo Chiponda,4724,20.56,0,31910,275,22973
106,Kasungu South West,12,IND – Jekapu Mirriam,9206,44.03,,31293,354,20908
